250 500 750 1000 1250 1500 1750 2000 2250 2500 2750 3000 3250 3500 
1.0024 1.5887 2 2 1.7825 1.5887 1.4159 1.2619 1.0024 0.7962 0.6325 0.5024 0.2518 0.1262
